Value,alibaba,apertium,argos,baidu,bing,caiyun,cloudTranslation,deepl,elia,google,iflyrec,itranslate,languageWire,lingvanex,mglip,modernMt,papago,qqFanyi,qqTranSmart,reverso,sogou,translateCom,utibet
阿拉伯语(沙特阿拉伯),,,,,,,,,,,,ar-SA,,ar_SA,,,,,,,,,
阿拉伯语(埃及),,,,,,,,,,,,ar-EG,,ar_EG,,,,,,,,,
阿尔及利亚阿拉伯语,,,,arq,,,,,,,,,,,,,,,,,,,
阿萨姆语,as,,,asm,as,,,,,as,,,,as_IN,,as,,,,,,,
阿斯图里亚斯语,ast,ast,,ast,,,,,,,,,,,,ast,,,ast,,,,
阿瓦德语,,,,,,,,,,,,,,,,awa,,,,,,,
艾马拉语,ay,,,aym,,,,,,ay,,,,,,ayr,,,ay,,,,
阿塞拜疆语,az,,az,aze,az,,,,,az,,az,,az_AZ,,az,,,az,,,,
南阿塞拜疆语,,,,,,,,,,,,,,,,azb,,,,,,,
北阿塞拜疆语,,,,,,,,,,,,,,,,azj,,,,,,,
巴什基尔语,ba,,,bak,ba,,,,,,,,,,,ba,,,,,,,
巴哈马克里奥尔语,,,,,,,,,,,,,,,,,,,,,,,
俾路支语,bal,,,bal,,,,,,,,,,,,,,,,,,,
白俄罗斯语,be,bel,,bel,,,,,,be,,be,,be_BY,,be,,,be,,,,
本巴语,bem,,,bem,,,,,,,,,,,,bem,,,,,,,
巴厘语,,,,,,,,,,,,,,,,ban,,,,,,,
柏柏尔语,ber,,,ber,,,,,,,,,,,,,,,,,,,
保加利亚语,bg,bul,bg,bul,bg,,,bg,,bg,,bg,,bg_BG,,bg,,,bg,bg,,bg,
博杰普尔语,bho,,,bho,bho,,,,,bho,,,,,,bho,,,,,,,
比斯拉马语,bi,,,bis,,,,,,,,,,,,,,,,,,,
班查语,,,,,,,,,,,,,,,,bjn,,,,,,,
巴巴多斯克里奥尔语,,,,,,,,,,,,,,,,,,,,,,,
班巴拉语,bm,,,,,,,,,bm,,,,,,bm,,,,,,,
孟加拉语,bn,,bn,ben,bn,,,,,bn,,bn,,bn_BD,,bn,,,bn,bn,,,
布列塔尼语,br,bre,,bre,brx,,,,,,,,,,,,,,br,,,,
波斯尼亚语,bs,,,bos,bs,,,,,bs,,bs,,bs_BA,,bs,,,bs,,,,
波斯尼亚语(西里尔文),,,,,,,,,,,,,,,,,,,,,,,
布吉语,,,,,,,,,,,,,,,,bug,,,,,,,
比林语,byn,,,bli,,,,,,,,,,,,,,,,,,,
加泰罗尼亚语,ca,cat,ca,cat,ca,,,,ca,ca,,ca,,ca_ES,,ca,,,ca,,,,
瓦伦西亚语,,cat_valencia,,,,,,,,,,,,,,,,,,,,,
查瓦卡诺语,cbk,,,,,,,,,,,,,,,,,,,,,,
宿务语,ceb,,,ceb,,,,,,ceb,,ceb,,ceb_PH,,ceb,,,,,,,
查莫罗语,ch,,,,,,,,,,,,,,,,,,,,,,
马里语（俄罗斯）,chm,,,,,,,,,,,,,,,,,,,,,,
切罗基语,chr,,,chr,,,,,,,,,,,,,,,,,,,
乔克韦语,,,,,,,,,,,,,,,,cjk,,,,,,,
库尔德语(索拉尼),,,,,,,,,,ckb,,,,,,ckb,,,,,,,
黑山语,cnr,,,mot,,,,,,,,,,,,,,,cnr,,,,
科西嘉语,co,,,cos,,,,,,co,,,,co_FR,,,,,,,,,
科普特语,,,,,,,,,,,,,,,,,,,,,,,
康瓦尔语,,,,cor,,,,,,,,,,,,,,,,,,,
克里米亚鞑靼语,crh,crh,,cri,,,,,,,,,,,,crh,,,,,,,
塞舌尔克里奥尔语,,,,,,,,,,,,,,,,,,,,,,,
捷克语,cs,,cs,cs,cs,,,cs,,cs,,cs,,cs_CZ,,cs,,,cs,cs,cs,cs,
卡舒比语,csb,,,kah,,,,,,,,,,,,,,,csb,,,,
楚瓦什语,cv,,,chv,,,,,,,,,,,,,,,,,,,
威尔士语,cy,cym,,wel,cy,,,,,cy,,cy,,cy_GB,,cy,,,cy,,,,
丹麦语,da,dan,da,dan,da,,,da,,da,,da,da,da_DK,,da,,,da,da,da,da,
瑞典德语,,,,,,,,,,,,,,,,,,,,,,,
西南丁卡语,,,,,,,,,,,,,,,,dik,,,,,,,
迪姆利语,,,,,,,,,,,,,,,,diq,,,,,,,
杜顺语,dtp,,,div,doi,,,,,doi,,,,,,,,,,,,,
迪维西语,dv,,,,dv,,,,,dv,,,,,,,,,dev,,,,
迪乌拉语,,,,,,,,,,,,,,,,dyu,,,,,,,
宗喀语,,,,,,,,,,,,,,,,dz,,,dz,,,,
埃维语,ee,,,,,,,,,ee,,,,,,ee,,,,,,,
现代希腊语,el,,el,el,el,,,el,,el,,el,,el_GR,,el,,,el,el,,el,
世界语,eo,epo,eo,epo,,,,,,eo,,eo,,eo_WORLD,,eo,,,eo,,,,
爱沙尼亚语,et,,et,est,et,,,et,,et,,et,,et_EE,,et,,,et,et,,,
巴斯克语,eu,eus,,baq,eu,,,,eu,eu,,eu,,eu_ES,,,,,eu,,,,
波斯语,fa,,fa,per,fa,,fa,,,fa,,fa,,fa_IR,,,,,fa,fa,,fa,
芬兰语,fi,,fi,fin,fi,,,fi,,fi,,fi,,fi_FI,,fi,,,fi,fi,fi,fi,
菲律宾语,fil,,,fil,fil,,,,,,,,,,,,,,fil,,,,
斐济语,fj,,,,fj,,,,,,,,,,,fj,,,,,,,
法纳柯罗语,,,,,,,,,,,,,,,,,,,,,,,
法罗语,fo,,,fao,fo,,,,,,,,,,,fo,,,fo,,,,
丰语,,,,,,,,,,,,,,,,fon,,,,,,,
法兰克-普罗旺斯语,,frp,,,,,,,,,,,,,,,,,,,,,
弗留利语,fur,,,fri,,,,,,,,,,,,fur,,,fur,,,,
富拉尼语,,,,ful,,,,,,,,,,,,,,,,,,,
尼日利亚富拉语,,,,,,,,,,,,,,,,fuv,,,,,,,
富尔语,fvr,,,,,,,,,,,,,,,,,,,,,,
西弗里斯兰语,fy,,,fry,,,,,,fy,,,,fy_NL,,,,,fy,,,,
爱尔兰语,ga,,ga,gle,ga,,,ga,,ga,,ga,,ga_IE,,ga,,,ga,,,,
苏格兰盖尔语,gd,,,gla,,,,,,gd,,,,gd_GB,,gd,,,gd,,,,
基里巴斯语,gil,,,,,,,,,,,,,,,,,,,,,,
加利西亚语,gl,glg,,glg,gl,,,,gl,gl,,gl,,gl_ES,,gl,,,gl,,,,
瓜拉尼语,gn,,,grn,,,,,,gn,,,,,,gn,,,,,,,
贡根语,,,,,,,,,,gom,,,,,,,,,,,,,
格罗宁根方言,gos,,,,,,,,,,,,,,,,,,,,,,
古希腊语,,,,gra,,,,,,,,,,,,,,,,,,,
古吉拉特语,gu,,,guj,gu,,,,,gu,,gu,,gu_IN,,gu,,,gu,,,,
马恩语,gv,,,glv,,,,,,,,,,,,,,,gun,,,,
豪萨语,ha,,,hau,ha,,,,,ha,,ha,,ha_NE,,ha,,,ha,ha,,,
哈卡钦语,,,,hak,,,,,,,,,,,,,,,,,,,
夏威夷语,haw,,,haw,,,,,,haw,,,,haw_US,,,,,,,,,
克罗地亚语,hbs,hbs,,hrv,hr,,,hr,,hr,,hr,,hr_HR,,hr,,,hr,,,,
希伯来语,he,,he,heb,he,,,,,iw,,he,,he_IL,,he,,,he,he,,,
印地语,hi,hin,hi,hi,hi,,hi,,,hi,,hi,,hi_IN,,hi,hi,hi,hi,hi,,,
希利盖农语,hil,,,hil,,,,,,,,,,,,,,,,,,,
恰蒂斯加尔语,,,,,,,,,,,,,,,,hne,,,,,,,
上索布语,hsb,,,,hsb,,,,,,,,,,,,,,,,,,
海地克里奥尔语,ht,,,ht,ht,,,,,ht,,ht,,ht_HT,,ht,,,ht,,,,
匈牙利语,hu,,hu,hu,hu,,,hu,,hu,,hu,,hu_HU,,hu,,,hu,hu,hu,hu,
胡帕语,hup,,,hup,,,,,,,,,,,,,,,,,,,
亚美尼亚语,hy,,,arm,hy,,,,,hy,,hy,,hy_AM,,hy,,,hy,,,,
因特语,ia,,,ina,,,,,,,,,,,,,,,ia,,,,
伊班语,iba,,,,,,,,,,,,,,,,,,,,,,
印度尼西亚语,id,ind,id,id,id,,id,id,,id,,id,,id_ID,,id,id,id,id,id,,id,
西方国际语,ie,,,,,,,,,,,,,,,,,,,,,,
伊博语,ig,,,ibo,ig,,,,,ig,,ig,,ig_NG,,ig,,,,,,,
因纽特语,,,,,ikt,,,,,,,,,,,,,,,,,,
伊洛卡诺语,ilo,,,,,,,,,ilo,,,,,,ilo,,,,,,,
印古什语,inh,,,ing,,,,,,,,,,,,,,,,,,,
伊多语,io,,,ido,,,,,,,,,,,,,,,,,,,
冰岛语,is,isl,,ice,is,,,is,,is,,is,,is_IS,,is,,,is,,,,
伊努克提图特语(拉丁文),iu,,,iku,iu,,,,,,,,,,,,,,iw,,,iw,
伊努克提图特语,,,,,iu-Latn,,,,,,,,,,,,,,,,,,
逻辑语,jbo,,,loj,,,,,,,,,,,,,,,jbo,,,,
爪哇语,jv,,,jav,,,,,,jw,,jw,,jv_ID,,jv,,,jv,,,,
格鲁吉亚语,ka,,,geo,ka,,,,,ka,,ka,,ka_GE,,ka,,,ka,,,,
卡拜尔语,kab,,,kab,,,,,,,,,,,,kab,,,,,,,
景颇语,,,,,,,,,,,,,,,,kac,,,,,,,
康巴语,,,,,,,,,,,,,,,,kam,,,,,,,
卡比耶语,,,,,,,,,,,,,,,,kbp,,,,,,,
侗语,kdx,,,,,,,,,,,,,,,,,,,,,,
佛得角克里奥尔语,,,,,,,,,,,,,,,,kea,,,,,,,
玛雅语,kek,,,,,,,,,,,,,,,,,,,,,,
刚果语,kg,,,kon,,,,,,,,,,,,kg,,,,,,,
卡西语,kha,,,,,,,,,,,,,,,,,,,,,,
喀尔喀蒙古语,,,,,,,,,,,,,,,,khk,,,,,,,
基库尤语,,,,,,,,,,,,,,,,ki,,,,,,,
哈萨克语,kk,kaz,,,kk,,,,,kk,,kk,,kk_KZ,,kk,,,kk,,,,
格陵兰语,kl,,,kal,,,,,,,,,,,,,,,,,,,
高棉语,km,,,hkm,km,,km,,,km,,km,,km_KH,,km,,,km,,,,
金邦杜语,,,,,,,,,,,,,,,,kmb,,,,,,,
卡纳达语,kn,,,kan,kn,,,,,kn,,kn,,kn_IN,,kn,,,kn,,,,
孔卡尼语,,,,kok,gom,,,,,,,,,,,,,,,,,,
卡努里语,kr,,,kau,,,,,,,,,,,,knc,,,,,,,
克里奥尔语,,,,,,,,,,kri,,,,,,,,,,,,,
克什米尔语,ks,,,kas,ks,,,,,,,,,,,kas,,,,,,,
克什米尔语(天城文),,,,,,,,,,,,,,,,ks,,,,,,,
库尔德语(中),ku,,,kur,ku,,,,,ku,,,,ku_IR,,,,,ku,,,,
库尔德语(北),,,,,kmr,,,,,,,,,,,kmr,,,,,,,
康沃尔语,kw,,,,,,,,,,,,,,,,,,kw,,,,
吉尔吉斯斯坦语,ky,,,kir,ky,,,,,ky,,,,ky_KG,,ky,,,ky,,,,
拉丁语,la,,,lat,,,,,,la,,la,,la_VAT,,la,,,,,,,
卢森堡语,lb,,,ltz,,,,,,lb,,,,lb_LU,,lb,,,lb,,,,
新共同语言,lfn,,,,,,,,,,,,,,,,,,,,,,
卢干达语,lg,,,lug,lug,,,,,lg,,,,,,lg,,,,,,,
林堡语,li,,,lim,,,,,,,,,,,,li,,,,,,,
利古里亚语,,,,,,,,,,,,,,,,lij,,,,,,,
伦巴底语,,,,,,,,,,,,,,,,lmo,,,,,,,
林加拉语,ln,,,lin,ln,,,,,ln,,,,,,ln,,,ln,,,,
老挝语,lo,,,lao,lo,,lo,,,lo,,lo,,lo_LA,,lo,,,lo,,,,
下索布语,,,,los,dsb,,,,,,,,,,,,,,,,,,
立陶宛语,lt,,lt,lit,lt,,,lt,,lt,,lt,,lt_LT,,lt,,,lt,lt,,,
拉特加莱语,ltg,,,lag,,,,,,,,,,,,ltg,,,,,,,
卢巴卡塞语,,,,,,,,,,,,,,,,lua,,,,,,,
卢奥语,,,,,,,,,,,,,,,,luo,,,,,,,
米佐语,,,,,,,,,,lus,,,,,,lus,,,,,,,
拉脱维亚语,lv,,lv,lav,lv,,,lv,,lv,,lv,,lv_LV,,lv,,,lv,,,,
标准拉脱维亚语,,,,,,,,,,,,,,,,lvs,,,,,,,
马加希语,,,,,,,,,,,,,,,,mag,,,,,,,
迈蒂利语,mai,,,mai,mai,,,,,mai,,,,,,mai,,,mai,,,,
毛里求斯克里奥尔语,mfe,,,mau,,,,,,,,,,,,,,,mfe,,,,
马达加斯加语,mg,,,mg,mg,,,,,mg,,mg,,mg_MG,,mg,,,mg,,,,
马绍尔语,mh,,,mah,,,,,,,,,,,,,,,,,,,
毛利语,mi,,,mao,mi,,,,,mi,,mi,,mi_NZ,,mi,,,mi,,,,
米南佳保语,,,,,,,,,,,,,,,,min,,,,,,,
马其顿语,mk,mkd,,mac,mk,,,,,mk,,mk,,mk_MK,,mk,,,mk,,,,
马拉雅拉姆语,ml,,,mal,ml,,,,,ml,,ml,,ml_IN,,ml,,,ml,,,,
梅泰语(曼尼普尔语),,,,,,,,,,mni-Mtei,,,,,,mni,,,,,,,
莫西语,,,,,,,,,,,,,,,,mos,,,,,,,
马拉地语,mr,,,mar,mr,,,,,mr,,mr,,mr_IN,,mr,,,mr,,,,
马来语,ms,zlm,ms,may,ms,,ms,,,ms,,ms,,ms_MY,,ms,,ms,ms,,,ms,
马耳他语,mt,mlt,,mlt,mt,,,mt,,mt,,mt,,mt_MT,,mt,,,mt,,,,
克里克语,mus,,,cre,,,,,,,,,,,,,,,,,,,
缅甸语,my,,,bur,my,,my,,,my,,my,,my_MM,,my,,,,,,,
南恩德贝莱语,,,,nbl,,,,,,,,,,,,,,,,,,,
阿兹特克语,nch,,,,,,,,,,,,,,,,,,,,,,
低地德语,nds,,,log,,,,,,,,,,,,,,,,,,,
尼泊尔语,ne,,,nep,ne,,,,,ne,,ne,,ne_NP,,ne,,,ne,,,,
那不勒斯语,,,,nea,,,,,,,,,,,,,,,,,,,
格雷罗纳瓦特尔语,ngu,,,,,,,,,,,,,,,,,,,,,,
纽埃语,niu,,,,,,,,,,,,,,,,,,,,,,
新挪威语,,nno,,nno,,,,,,,,,,,,nn,,,nn,,,,
东挪威语,,nno_e,,,,,,,,,,,,,,,,,,,,,
挪威语,no,,,nor,,,,no,,no,,no,,no_NO,,,,,no,no,,no,
书面挪威语,,nob,nb,nob,nb,,,nb,,,,,nb,,,nb,,,nb,,,,
西非书面语,,,,nqo,,,,,,,,,,,,,,,,,,,
塞佩蒂语,,,,,,,,,,nso,,,,,,,,,,,,,
努尔语,,,,,,,,,,,,,,,,nus,,,,,,,
纳瓦霍语,nv,,,,,,,,,,,,,,,,,,,,,,
齐切瓦语,ny,,,nya,nya,,,,,ny,,ny,,ny_MW,,ny,,,,,,,
奥克语,oc,,,oci,,,,,,,,,,,,oc,,,oc,,,,
奥克西坦语,,oci,,,,,,,,,,,,,,,,,,,,,
阿兰语,,oci_aran,,,,,,,,,,,,,,,,,,,,,
加斯科尼语,,oci_gascon,,,,,,,,,,,,,,,,,,,,,
奥杰布瓦语,oj,,,oji,,,,,,,,,,,,,,,,,,,
奥罗莫语,om,,,orm,,,,,,om,,,,,,gaz,,,,,,,
奥里亚语,or,,,ori,or,,,,,or,,,,or_OR,,or,,,or,,,,
奥塞梯语,os,,,oss,,,,,,,,,,,,,,,,,,,
克雷塔罗奥托米语,,,,,otq,,,,,,,,,,,,,,,,,,
旁遮普语,pa,,,pan,pa,,,,,pa,,pa,,pa_PK,,pa,,,pa,,,,
邦阿西楠语,pag,,,,,,,,,,,,,,,pag,,,,,,,
邦板牙语,,,,pam,,,,,,,,,,,,,,,,,,,
帕皮阿门托语,pap,,,pap,,,,,,,,,,,,pap,,,pap,,,,
北索托语,,,,ped,nso,,,,,,,,,,,nso,,,nso,,,,
西波斯语,,,,,,,,,,,,,,,,pes,,,,pe,,,
波兰语,pl,pol,pl,pl,pl,,pl,pl,,pl,,pl,,pl_PL,,pl,,,pl,pl,pl,pl,
高原马拉加斯语,,,,,,,,,,,,,,,,plt,,,,,,,
帕姆语,pmn,,,,,,,,,,,,,,,,,,pms,,,,
普什图语,ps,,,pus,ps,,,,,ps,,,,ps_AF,,ps,,,ps,ps,,,
南普什图语,,,,,,,,,,,,,,,,pbt,,,,,,,
达利语,,,,,prs,,,,,,,,,,,prs,,,,,,,
葡萄牙语,pt,por,pt,pt,pt,,pt,pt,,pt,,,,,,,pt,pt,pt,pt,pt,pt,
巴西葡萄牙语,,por_BR,,pot,,,,,,,,pt-BR,,,,pt-BR,,,pt-BR,ptb,,pt-br,
欧洲葡萄牙语,,por_PTpre1990,,,pt-PT,,,,,,,pt-PT,,pt_PT,,pt-PT,,,pt-PT,,,,
克丘亚语,qu,,,que,,,,,,qu,,,,,,,,,,,,,
基切语,quc,,,,,,,,,,,,,,,,,,,,,,
阿亚库乔克丘亚语,,,,,,,,,,,,,,,,quy,,,,,,,
罗曼什语,rm,,,roh,,,,,,,,,,,,,,,rm,,,,
基隆迪语,rn,,,,run,,,,,,,,,,,rn,,,,,,,
罗马尼亚语,ro,ron,ro,ro,ro,,,ro,,ro,,ro,,ro_RO,,ro,,,ro,ro,,ro,
罗姆语,rom,,,rom,,,,,,,,,,,,,,,,,,,
卢森尼亚语,rue,,,ruy,,,,,,,,,,,,,,,,,,,
卢旺达语,rw,,,kin,rw,,,,,rw,,,,rw_RW,,rw,,,,,,,
梵语,sa,,,san,,,,,,sa,,,,,,sa,,,,,,,
萨哈语,,,,,,,,,,,,,,,,,,,sah,,,,
桑塔利语,,,,,,,,,,,,,,,,sat,,,,,,,
西西里语,,,,,,,,,,,,,,,,scn,,,,,,,
低地苏格兰语,sco,,,sco,,,,,,,,,,,,,,,sco,,,,
信德语,sd,,,snd,sd,,,,,sd,,,,sd_PK,,sd,,,,,,,
北萨米语,se,sme,,sme,,,,,,,,,,,,,,,se,,,,
塞克语,,,,sec,,,,,,,,,,,,,,,,,,,
桑戈语,sg,,,,,,,,,,,,,,,sg,,,,,,,
掸语,shn,,,sha,,,,,,,,,,,,shn,,,,,,,
僧伽罗语,si,,,sin,si,,,,,si,,si,,si_LK,,si,,,si,,,,
斯诺伐克语,sk,,sk,sk,sk,,sk,sk,,sk,,sk,,sk_SK,,sk,,,sk,sk,,sk,
斯洛文尼亚语,sl,slv,sl,slo,sl,,,sl,,sl,,sl,,sl_SI,,sl,,,sl,sl,,,
萨摩亚语,sm,,,sm,sm,,,,,sm,,,,sm_WS,,sm,,,,,,,
修纳语,sn,,,sna,sn,,,,,sn,,,,sn_ZW,,sn,,,,,,,
索马里语,so,,,som,so,,,,,so,,so,,so_SO,,so,,,so,so,,,
桑海语,,,,sol,,,,,,,,,,,,,,,son,,,,
南索托语,,,,sot,,,,,,,,,,,,,,,,,,,
阿尔巴尼亚语,sq,,sq,alb,sq,,,,,sq,,sq,,sq_AL,,sq,,,sq,,,,
塞尔维亚语,sr,,sr,,,,,,,sr,,sr,,,,,,,sr,sr,,sr,
塞尔维亚语(西里尔文),,,,src,sr-Cyrl,,,,,,,,,sr-Cyrl_RS,,sr-Cyrl,,,,,,,
塞尔维亚语(拉丁文),,,,srp,sr-Latn,,,,,,,,,,,sr-Latn,,,,,,,
萨丁尼亚语,,srd,,srd,,,,,,,,,,,,sc,,,,,,,
斯瓦特语,,,,,,,,,,,,,,,,ss,,,,,,,
塞索托语,st,,,,st,,,,,st,,st,,st_LS,,st,,,,,,,
巽他语,su,,,sun,,,,,,su,,su,,su_ID,,su,,,su,,,,
瑞典语,sv,swe,sv,swe,sv,,,sv,,sv,,sv,sv,sv_SE,,sv,,,sv,sv,sv,sv,
斯瓦希里语,sw,,,swa,sw,,,,,sw,,sw,,sw_TZ,,sw,,,sw,,,,
叙利亚语,syr,,,syr,,,,,,,,,,,,,,,,,,,
西里西亚语,szl,szl,,sil,,,,,,,,,,,,szl,,,,,,,
泰米尔语,ta,,,tam,ta,,,,,ta,,ta,,ta_IN,,ta,,,ta,,,,
图阿雷格语,,,,,,,,,,,,,,,,taq,,,,,,,
泰卢固语,te,,,tel,te,,,,,te,,te,,te_IN,,te,,,te,,,,
德顿语,tet,,,tet,,,,,,,,,,,,,,,,,,,
塔吉克语,tg,,,tgk,,,,,,tg,,tg,,tg_TJ,,tg,,,tg,,,,
泰语,th,,th,th,th,,th,,,th,,th,,th_TH,,th,th,th,th,th,th,th,
提格雷尼亚语,ti,,,tir,ti,,,,,ti,,,,,,ti,,,ti,,,,
土库曼语,tk,,,tuk,tk,,,,,tk,,,,tk_TM,,tk,,,tk,,,,
他加禄语,tl,,tl,tgl,,,tl,,,tl,,tl,,tl_PH,,tl,,,tl,,,tl,
克林贡语,tlh,,,kli,tlh-Latn,,,,,,,,,,,,,,,,,,
茨瓦纳语,,,,,tn,,,,,,,,,,,tn,,,,,,,
汤加语(汤加群岛),to,,,,to,,,,,,,,,,,,,,,,,,
汤加语(赞比亚),toi,,,,,,,,,,,,,,,,,,,,,,
巴布亚皮钦语,tpi,,,,,,,,,,,,,,,tpi,,,,,,,
土耳其语,tr,tur,tr,tr,tr,,,tr,,tr,,tr,,tr_TR,,tr,,tr,tr,tr,,tr,
聪加语,ts,,,tso,,,,,,ts,,,,,,ts,,,,,,,
鞑靼语,tt,tat,,tat,tt,,,,,tt,,,,tt_TT,,tt,,,tt,,,,
突尼斯阿拉伯语,,,,tua,,,,,,,,,,,,,,,,,,,
通布卡语,,,,,,,,,,,,,,,,tum,,,,,,,
图瓦卢语,tvl,,,,,,,,,,,,,,,,,,,,,,
契维语,tw,,,twi,,,,,,,,,,,,tw,,,,,,,
塔希提语,ty,,,,ty,,,,,,,,,,,,,,,,,,
图瓦语,tyv,,,,,,,,,,,,,,,,,,,,,,
塔马齐格特语,,,,,,,,,,,,,,,,tzm,,,,,,,
乌德穆尔特语,udm,,,,,,,,,,,,,,,,,,,,,,
维吾尔语,ug,,,,ug,,ug,,,ug,,,,ug_CN,,ug,,,ug,,,,
乌克兰语,uk,ukr,uk,ukr,uk,,uk,uk,,uk,,uk,,uk_UA,,uk,,,uk,uk,,uk,
姆班杜语,umb,,,,,,,,,,,,,,,umb,,,,,,,
高地索布语,,,,ups,,,,,,,,,,,,,,,,,,,
乌尔都语,ur,urd,ur,urd,ur,,,,,ur,,ur,,ur_PK,,ur,,,ur,ur,,,
乌孜别克语,uz,,,,uz,,,,,uz,,uz,,uz_UZ,,,,,uz,,,,
北乌孜别克语,,,,,,,,,,,,,,,,uzn,,,,,,,
文达语,ve,,,ven,,,,,,,,,,,,,,,,,,,
威尼斯语,,,,,,,,,,,,,,,,vec,,,,,,,
越南语,vi,,vi,vie,vi,,vi,,,vi,vi,vi,,vi_VN,,vi,vi,vi,vi,vi,vi,vi,
沃拉普克语,vo,,,,,,,,,,,,,,,,,,,,,,
瓦隆语,wa,,,wln,,,,,,,,,,,,,,,wa,,,,
瓦瑞语(菲律宾),war,,,,,,,,,,,,,,,war,,,,,,,
沃洛夫语,wo,,,wol,,,,,,,,,,,,wo,,,wo,,,,
科萨语,xh,,,xho,xh,,,,,xh,,,,xh_ZA,,xh,,,,,,,
意第绪语,yi,,,yid,,,,,,yi,,yi,,yi_IL,,ydd,,,,,,,
约鲁巴语,yo,,,yor,yo,,,,,yo,,yo,,yo_NG,,yo,,,yo,,,,
尤卡特克玛雅语,,,,,yua,,,,,,,,,,,,,,,,,,
标准马来语,,,,,,,,,,,,,,,,zsm,,,,,,,
祖鲁语,zu,,,zul,zu,,,,,zu,,zu,,zu_ZA,,zu,,,,,,,
